"year","ageGroup","race","gender","population"
1920,7,"Nonwhite","Female",383000
1920,7,"Nonwhite","Male",355000
1920,7,"White","Female",3579000
1920,7,"White","Male",3778000
1920,8,"Nonwhite","Female",392000
1920,8,"Nonwhite","Male",406000
1920,8,"White","Female",3322000
1920,8,"White","Male",3723000
1920,9,"Nonwhite","Female",309000
1920,9,"Nonwhite","Male",325000
1920,9,"White","Female",2824000
1920,9,"White","Male",3081000
1920,10,"Nonwhite","Female",229000
1920,10,"Nonwhite","Male",316000
1920,10,"White","Female",2412000
1920,10,"White","Male",2736000
1920,11,"Nonwhite","Female",180000
1920,11,"Nonwhite","Male",248000
1920,11,"White","Female",2050000
1920,11,"White","Male",2334000
1920,12,"Nonwhite","Female",112000
1920,12,"Nonwhite","Male",149000
1920,12,"White","Female",1583000
1920,12,"White","Male",1752000
1920,13,"Nonwhite","Female",90000
1920,13,"Nonwhite","Male",118000
1920,13,"White","Female",1332000
1920,13,"White","Male",1483000
1920,14,"Nonwhite","Female",61000
1920,14,"Nonwhite","Male",81000
1920,14,"White","Female",933000
1920,14,"White","Male",1003000
1920,15,"Nonwhite","Female",46000
1920,15,"Nonwhite","Male",50000
1920,15,"White","Female",645000
1920,15,"White","Male",661000
1920,16,"Nonwhite","Female",317000
1920,16,"Nonwhite","Male",315000
1920,16,"White","Female",2686000
1920,16,"White","Male",2664000
1930,0,"Nonwhite","Female",6290423
1930,0,"Nonwhite","Male",6227438
1930,0,"White","Female",54489801
1930,0,"White","Male",56069079
1930,1,"Nonwhite","Female",653517
1930,1,"Nonwhite","Male",645887
1930,1,"White","Female",4931576
1930,1,"White","Male",5141135
1930,2,"Nonwhite","Female",440060
1930,2,"Nonwhite","Male",435439
1930,2,"White","Female",3252623
1930,2,"White","Male",3357390
1930,3,"Nonwhite","Female",659533
1930,3,"Nonwhite","Male",654681
1930,3,"White","Female",5295915
1930,3,"White","Male",5430491
1930,4,"Nonwhite","Female",676121
1930,4,"Nonwhite","Male",625454
1930,4,"White","Female",5125371
1930,4,"White","Male",5145183
1930,5,"Nonwhite","Female",667512
1930,5,"Nonwhite","Male",591152
1930,5,"White","Female",4885033
1930,5,"White","Male",4771523
1930,6,"Nonwhite","Female",594210
1930,6,"Nonwhite","Male",539961
1930,6,"White","Female",4411018
1930,6,"White","Male",4348841
1930,7,"Nonwhite","Female",468289
1930,7,"Nonwhite","Male",448528
1930,7,"White","Female",4104363
1930,7,"White","Male",4123626
1930,8,"Nonwhite","Female",475075
1930,8,"Nonwhite","Male",454650
1930,8,"White","Female",4061175
1930,8,"White","Male",4227564
1930,9,"Nonwhite","Female",363273
1930,9,"Nonwhite","Male",367142
1930,9,"White","Female",3522823
1930,9,"White","Male",3798861
1930,10,"Nonwhite","Female",316165
1930,10,"Nonwhite","Male",343841
1930,10,"White","Female",3071044
1930,10,"White","Male",3344574
1930,11,"Nonwhite","Female",237462
1930,11,"Nonwhite","Male",297295
1930,11,"White","Female",2629315
1930,11,"White","Male",2855535
1930,12,"Nonwhite","Female",143293
1930,12,"Nonwhite","Male",190020
1930,12,"White","Female",2102122
1930,12,"White","Male",2262096
1930,13,"Nonwhite","Female",113288
1930,13,"Nonwhite","Male",142605
1930,13,"White","Female",1709803
1930,13,"White","Male",1812811
1930,14,"Nonwhite","Female",76407
1930,14,"Nonwhite","Male",89769
1930,14,"White","Female",1288650
1930,14,"White","Male",1339672
1930,15,"Nonwhite","Female",50763
1930,15,"Nonwhite","Male",54882
1930,15,"White","Female",916691
1930,15,"White","Male",943932
1930,16,"Nonwhite","Female",355455
1930,16,"Nonwhite","Male",346132
1930,16,"White","Female",3182279
1930,16,"White","Male",3165845
1940,0,"Nonwhite","Female",6859563
1940,0,"Nonwhite","Male",6634025
1940,0,"White","Female",58910520
1940,0,"White","Male",59718338
1940,1,"Nonwhite","Female",662169
1940,1,"Nonwhite","Male",655788
1940,1,"White","Female",4543811
1940,1,"White","Male",4716875
1940,2,"Nonwhite","Female",410049
1940,2,"Nonwhite","Male",406164
1940,2,"White","Female",2704988
1940,2,"White","Male",2800311
1940,3,"Nonwhite","Female",700251
1940,3,"Nonwhite","Male",694419
1940,3,"White","Female",5077092
1940,3,"White","Male",5243196
1940,4,"Nonwhite","Female",703664
1940,4,"Nonwhite","Male",663766
1940,4,"White","Female",5441406
1940,4,"White","Male",5533801
1940,5,"Nonwhite","Female",669231
1940,5,"Nonwhite","Male",580428
1940,5,"White","Female",5237385
1940,5,"White","Male",5203317
1940,6,"Nonwhite","Female",635056
1940,6,"Nonwhite","Male",560239
1940,6,"White","Female",5029774
1940,6,"White","Male",4931192
1940,7,"Nonwhite","Female",540811
1940,7,"Nonwhite","Male",497629
1940,7,"White","Female",4651397
1940,7,"White","Male",4599851
1940,8,"Nonwhite","Female",539551
1940,8,"Nonwhite","Male",493269
1940,8,"White","Female",4283520
1940,8,"White","Male",4280335
1940,9,"Nonwhite","Female",429920
1940,9,"Nonwhite","Male",426055
1940,9,"White","Female",3956653
1940,9,"White","Male",4012363
1940,10,"Nonwhite","Female",358296
1940,10,"Nonwhite","Male",369069
1940,10,"White","Female",3698217
1940,10,"White","Male",3848150
1940,11,"Nonwhite","Female",277521
1940,11,"Nonwhite","Male",303168
1940,11,"White","Female",3241045
1940,11,"White","Male",3459152
1940,12,"Nonwhite","Female",209704
1940,12,"Nonwhite","Male",234310
1940,12,"White","Female",2654089
1940,12,"White","Male",2805395
1940,13,"Nonwhite","Female",161603
1940,13,"Nonwhite","Male",180696
1940,13,"White","Female",2199403
1940,13,"White","Male",2248986
1940,14,"Nonwhite","Female",122922
1940,14,"Nonwhite","Male",135013
1940,14,"White","Female",1774946
1940,14,"White","Male",1748899
1940,15,"Nonwhite","Female",81766
1940,15,"Nonwhite","Male",88126
1940,15,"White","Female",1225529
1940,15,"White","Male",1189486
1940,16,"Nonwhite","Female",357049
1940,16,"Nonwhite","Male",345886
1940,16,"White","Female",3191265
1940,16,"White","Male",3097029
1950,0,"Nonwhite","Female",8286993
1950,0,"Nonwhite","Male",8000907
1950,0,"White","Female",68135412
1950,0,"White","Male",67848105
1950,1,"Nonwhite","Female",1027962
1950,1,"Nonwhite","Male",1034317
1950,1,"White","Female",7020017
1950,1,"White","Male",7327659
1950,2,"Nonwhite","Female",513500
1950,2,"Nonwhite","Male",512281
1950,2,"White","Female",3605456
1950,2,"White","Male",3771918
1950,3,"Nonwhite","Female",732382
1950,3,"Nonwhite","Male",738866
1950,3,"White","Female",4773604
1950,3,"White","Male",4967807
1950,4,"Nonwhite","Female",678494
1950,4,"Nonwhite","Male",651639
1950,4,"White","Female",4615595
1950,4,"White","Male",4729677
1950,5,"Nonwhite","Female",717604
1950,5,"Nonwhite","Male",633794
1950,5,"White","Female",5168410
1950,5,"White","Male",5160584
1950,6,"Nonwhite","Female",714169
1950,6,"Nonwhite","Male",646391
1950,6,"White","Female",5576813
1950,6,"White","Male",5424223
1950,7,"Nonwhite","Female",635678
1950,7,"Nonwhite","Male",568514
1950,7,"White","Female",5305952
1950,7,"White","Male",5164033
1950,8,"Nonwhite","Female",639195
1950,8,"Nonwhite","Male",583908
1950,8,"White","Female",5122560
1950,8,"White","Male",5000986
1950,9,"Nonwhite","Female",527480
1950,9,"Nonwhite","Male",513677
1950,9,"White","Female",4641812
1950,9,"White","Male",4606851
1950,10,"Nonwhite","Female",463467
1950,10,"Nonwhite","Male",459812
1950,10,"White","Female",4112785
1950,10,"White","Male",4105935
1950,11,"Nonwhite","Female",373561
1950,11,"Nonwhite","Male",384015
1950,11,"White","Female",3788246
1950,11,"White","Male",3765123
1950,12,"Nonwhite","Female",268639
1950,12,"Nonwhite","Male",287529
1950,12,"White","Female",3367996
1950,12,"White","Male",3368920
1950,13,"Nonwhite","Female",204405
1950,13,"Nonwhite","Male",216469
1950,13,"White","Female",2840668
1950,13,"White","Male",2841481
1950,14,"Nonwhite","Female",220021
1950,14,"Nonwhite","Male",207030
1950,14,"White","Female",2381926
1950,14,"White","Male",2239812
1950,15,"Nonwhite","Female",118312
1950,15,"Nonwhite","Male",119952
1950,15,"White","Female",1682028
1950,15,"White","Male",1523696
1950,16,"Nonwhite","Female",452124
1950,16,"Nonwhite","Male",442713
1950,16,"White","Female",4131544
1950,16,"White","Male",3849400
1960,0,"Nonwhite","Female",10585961
1960,0,"Nonwhite","Male",10062524
1960,0,"White","Female",80765686
1960,0,"White","Male",79256987
1960,1,"Nonwhite","Female",1485313
1960,1,"Nonwhite","Male",1483216
1960,1,"White","Female",8517156
1960,1,"White","Male",8855564
1960,2,"Nonwhite","Female",818702
1960,2,"Nonwhite","Male",818075
1960,2,"White","Female",4890303
1960,2,"White","Male",5081761
1960,3,"Nonwhite","Female",1078689
1960,3,"Nonwhite","Male",1080061
1960,3,"White","Female",7244343
1960,3,"White","Male",7522388
1960,4,"Nonwhite","Female",820614
1960,4,"Nonwhite","Male",809317
1960,4,"White","Female",5819061
1960,4,"White","Male",5993185
1960,5,"Nonwhite","Female",708743
1960,5,"Nonwhite","Male",649199
1960,5,"White","Female",4856793
1960,5,"White","Male",4919442
1960,6,"Nonwhite","Female",700072
1960,6,"Nonwhite","Male",620111
1960,6,"White","Female",4812371
1960,6,"White","Male",4803073
1960,7,"Nonwhite","Female",733090
1960,7,"Nonwhite","Male",634626
1960,7,"White","Female",5345586
1960,7,"White","Male",5269601
1960,8,"Nonwhite","Female",709958
1960,8,"Nonwhite","Male",638330
1960,8,"White","Female",5692550
1960,8,"White","Male",5501634
1960,9,"Nonwhite","Female",621144
1960,9,"Nonwhite","Male",563122
1960,9,"White","Female",5325293
1960,9,"White","Male",5169332
1960,10,"Nonwhite","Female",565811
1960,10,"Nonwhite","Male",530660
1960,10,"White","Female",4968925
1960,10,"White","Male",4848612
1960,11,"Nonwhite","Female",467487
1960,11,"Nonwhite","Male",451688
1960,11,"White","Female",4433758
1960,11,"White","Male",4311181
1960,12,"Nonwhite","Female",406906
1960,12,"Nonwhite","Male",399787
1960,12,"White","Female",3919072
1960,12,"White","Male",3745133
1960,13,"Nonwhite","Female",306531
1960,13,"Nonwhite","Male",289723
1960,13,"White","Female",3433991
1960,13,"White","Male",3123868
1960,14,"Nonwhite","Female",275197
1960,14,"Nonwhite","Male",249108
1960,14,"White","Female",3068566
1960,14,"White","Male",2687241
1960,15,"Nonwhite","Female",183583
1960,15,"Nonwhite","Male",168462
1960,15,"White","Female",2393108
1960,15,"White","Male",2028208
1960,16,"Nonwhite","Female",704121
1960,16,"Nonwhite","Male",677039
1960,16,"White","Female",6044810
1960,16,"White","Male",5396764
1970,0,"Nonwhite","Female",13192878
1970,0,"Nonwhite","Male",12215263
1970,0,"White","Female",91505420
1970,0,"White","Male",88138613
1970,1,"Nonwhite","Female",1344188
1970,1,"Nonwhite","Male",1352814
1970,1,"White","Female",7070876
1970,1,"White","Male",7398313
1970,2,"Nonwhite","Female",904102
1970,2,"Nonwhite","Male",909952
1970,2,"White","Female",4845962
1970,2,"White","Male",5062857
1970,3,"Nonwhite","Female",1544389
1970,3,"Nonwhite","Male",1548341
1970,3,"White","Female",8685987
1970,3,"White","Male",9074126
1970,4,"Nonwhite","Female",1359003
1970,4,"Nonwhite","Male",1351750
1970,4,"White","Female",8158125
1970,4,"White","Male",8464219
1970,5,"Nonwhite","Female",1112024
1970,5,"Nonwhite","Male",1044793
1970,5,"White","Female",7435143
1970,5,"White","Male",7610146
1970,6,"Nonwhite","Female",886976
1970,6,"Nonwhite","Male",781961
1970,6,"White","Female",6028078
1970,6,"White","Male",6039133
1970,7,"Nonwhite","Female",786709
1970,7,"Nonwhite","Male",675707
1970,7,"White","Female",5085116
1970,7,"White","Male",5039852
1970,8,"Nonwhite","Female",746016
1970,8,"Nonwhite","Male",628213
1970,8,"White","Female",4933776
1970,8,"White","Male",4846671
1970,9,"Nonwhite","Female",740831
1970,9,"Nonwhite","Male",621422
1970,9,"White","Female",5407468
1970,9,"White","Male",5225255
1970,10,"Nonwhite","Female",674564
1970,10,"Nonwhite","Male",589487
1970,10,"White","Female",5602799
1970,10,"White","Male",5283777
1970,11,"Nonwhite","Female",586807
1970,11,"Nonwhite","Male",513974
1970,11,"White","Female",5199271
1970,11,"White","Male",4865723
1970,12,"Nonwhite","Female",506567
1970,12,"Nonwhite","Male",447922
1970,12,"White","Female",4718687
1970,12,"White","Male",4333300
1970,13,"Nonwhite","Female",435778
1970,13,"Nonwhite","Male",379920
1970,13,"White","Female",4188060
1970,13,"White","Male",3671951
1970,14,"Nonwhite","Female",374686
1970,14,"Nonwhite","Male",309407
1970,14,"White","Female",3512766
1970,14,"White","Male",2829390
1970,15,"Nonwhite","Female",256322
1970,15,"Nonwhite","Male",208229
1970,15,"White","Female",2888322
1970,15,"White","Male",2113868
1970,16,"Nonwhite","Female",933916
1970,16,"Nonwhite","Male",851371
1970,16,"White","Female",7744984
1970,16,"White","Male",6280032
1980,0,"nonwhite","female",16704419
1980,0,"nonwhite","male",15128823
1980,0,"white","female",99788225
1980,0,"white","male",94924338
1980,1,"nonwhite","female",1454156
1980,1,"nonwhite","male",1480154
1980,1,"white","female",6532089
1980,1,"white","male",6881855
1980,2,"nonwhite","female",1477867
1980,2,"nonwhite","male",1505509
1980,2,"white","female",6683009
1980,2,"white","male",7033571
1980,3,"nonwhite","female",1560886
1980,3,"nonwhite","male",1586453
1980,3,"white","female",7365022
1980,3,"white","male",7729768
1980,4,"nonwhite","female",1740051
1980,4,"nonwhite","male",1747081
1980,4,"white","female",8672664
1980,4,"white","male",9008328
1980,5,"nonwhite","female",1685609
1980,5,"nonwhite","male",1561440
1980,5,"white","female",8969864
1980,5,"white","male",9101791
1980,6,"nonwhite","female",1521067
1980,6,"nonwhite","male",1342087
1980,6,"white","female",8294745
1980,6,"white","male",8363020
1980,7,"nonwhite","female",1292201
1980,7,"nonwhite","male",1111742
1980,7,"white","female",7591923
1980,7,"white","male",7565054
1980,8,"nonwhite","female",995861
1980,8,"nonwhite","male",847578
1980,8,"white","female",6107932
1980,8,"white","male",6013931
1980,9,"nonwhite","female",842235
1980,9,"nonwhite","male",717314
1980,9,"white","female",5118963
1980,9,"white","male",4990896
1980,10,"nonwhite","female",763392
1980,10,"nonwhite","male",633003
1980,10,"white","female",4938114
1980,10,"white","male",4755246
1980,11,"nonwhite","female",745145
1980,11,"nonwhite","male",604792
1980,11,"white","female",5344217
1980,11,"white","male",5015878
1980,12,"nonwhite","female",667682
1980,12,"nonwhite","male",553457
1980,12,"white","female",5465709
1980,12,"white","male",4928406
1980,13,"nonwhite","female",560125
1980,13,"nonwhite","male",449170
1980,13,"white","female",4857604
1980,13,"white","male",4220722
1980,14,"nonwhite","female",504345
1980,14,"nonwhite","male",385940
